state_code,county_code,action_taken,loan_type,loan_purpose,lien_status,open_end_line_of_credit,business_or_commercial_purpose,loan_amount,combined_loan_to_value_ratio,interest_rate,rate_spread,hoepa_status,occupancy_type,income,debt_to_income_ratio,applicant_ethnicity_1,co_applicant_ethnicity_1,applicant_race_1,applicant_race_2,co_applicant_race_1,applicant_sex,denial_reason_1,denial_reason_2,rate_spread_valid,ltv_capped,dti_numeric,label,strata
NV,32003.0,1,1,4,2,2,2,205000.0,68.99,7.25,1.866,2,1,174.0,44,2,2,5,,5,1,10,,True,68.99,44.0,1,1_5
IL,17197.0,1,2,1,1,2,2,135000.0,50.0,6.75,0.786,2,1,62.0,50%-60%,2,5,5,,8,1,10,,True,50.0,55.0,1,1_5
KS,20091.0,1,1,31,2,1,2,55000.0,60.292,6.99,-1.1,2,1,200.0,<20%,2,2,5,,5,1,10,,False,60.292,10.0,1,1_5
MI,26009.0,1,1,2,2,1,2,125000.0,62.353,8.24,0.0,2,1,77.0,47,2,2,5,,5,1,10,,False,62.353,47.0,1,1_5
OH,39025.0,1,1,31,1,2,2,165000.0,53.888,6.49,-0.1,2,1,67.0,30%-<36%,2,2,5,,5,1,10,,False,53.888,33.0,1,1_5
KY,21111.0,1,1,4,2,2,2,125000.0,90.0,10.39,3.468,2,1,434.0,<20%,2,2,5,,5,2,10,,True,90.0,10.0,1,1_5
TN,47065.0,1,1,1,1,2,2,255000.0,95.0,6.875,0.402,2,1,85.0,38,2,2,5,,5,1,10,,True,95.0,38.0,1,1_5
TX,48113.0,1,1,1,1,2,2,255000.0,95.0,6.75,-0.067,2,1,75.0,40,2,5,5,,8,1,10,,False,95.0,40.0,1,1_5
MI,26017.0,1,1,32,2,87,87,65000.0,,,,2,1,20.0,,2,5,5,,8,1,87,,False,,,1,1_5
MI,26077.0,1,1,1,2,1,2,65000.0,44.764,7.49,-0.13,2,1,200.0,45,2,2,5,,5,2,10,,False,44.764,45.0,1,1_5
OH,39123.0,1,1,1,1,2,1,65000.0,75.0,7.875,,3,3,1468.0,<20%,2,5,5,,8,1,10,,False,75.0,10.0,1,1_5
NC,37139.0,1,1,2,2,1,2,75000.0,80.23,8.75,0.43,2,1,50.0,42,2,5,5,,8,2,10,,True,80.23,42.0,1,1_5
AL,1073.0,1,3,1,1,2,2,295000.0,100.0,4.99,-1.746,2,1,80.0,50%-60%,3,5,3,,8,1,10,,False,100.0,55.0,1,1_3
RI,44001.0,1,1,2,2,2,2,55000.0,17.4,6.99,,2,1,112.0,30%-<36%,2,2,5,,5,1,87,,False,17.4,33.0,1,1_5
KY,21209.0,1,1,1,1,2,2,275000.0,80.0,7.25,0.574,2,1,140.0,20%-<30%,2,5,3,,8,2,10,,True,80.0,25.0,1,1_3
NC,37019.0,3,1,2,2,1,2,105000.0,77.188,,,3,1,83.0,>60%,2,5,5,,8,1,3,1,False,77.188,65.0,0,0_5
MA,25021.0,3,1,1,2,1,2,105000.0,97.43,,,3,1,80.0,>60%,1,5,3,,8,2,1,4,False,97.43,65.0,0,0_3
GA,13213.0,3,2,1,1,2,2,485000.0,82.495,,,3,1,83.0,46,1,5,5,,8,1,4,9,False,82.495,46.0,0,0_5
AL,1117.0,1,1,2,2,1,2,195000.0,79.996,6.75,-1.24,2,1,315.0,20%-<30%,2,5,5,,8,1,10,,False,79.996,25.0,1,1_5
NE,31055.0,1,1,2,2,1,2,35000.0,29.9,7.5,-0.76,2,1,117.0,<20%,2,2,5,,5,1,10,,False,29.9,10.0,1,1_5
CT,9120.0,3,1,2,1,1,2,505000.0,29.41,,,3,1,375.0,50%-60%,2,2,5,,5,1,3,,False,29.41,55.0,0,0_5
MI,26163.0,1,2,1,1,2,2,215000.0,96.5,7.24,1.437,2,1,98.0,38,2,5,5,,8,2,10,,True,96.5,38.0,1,1_5
FL,12111.0,1,1,1,1,2,2,275000.0,77.336,4.5,-1.814,2,1,69.0,40,2,1,5,,5,1,10,,False,77.336,40.0,1,1_5
CA,6081.0,1,1,32,1,2,2,725000.0,60.0,9.75,4.051,1,1,,,2,2,2,23,2,3,10,,True,60.0,,1,1_2
HI,15003.0,1,1,2,2,1,2,105000.0,54.937,6.875,-0.845,2,1,237.0,50%-60%,2,2,2,4,2,1,10,,False,54.937,55.0,1,1_2
RI,44007.0,3,1,1,2,1,2,105000.0,,,,3,3,64.0,>60%,2,5,5,,8,2,4,,False,,65.0,0,0_5
RI,44007.0,3,1,32,2,2,2,35000.0,53.043,,,3,1,54.0,,2,5,5,,8,1,7,,False,53.043,,0,0_5
FL,12031.0,1,2,31,1,2,2,225000.0,97.175,5.744,0.309,2,1,,,2,5,5,,8,2,10,,True,97.175,,1,1_5
MI,26067.0,1,1,32,1,2,2,165000.0,54.276,5.999,-0.255,2,1,69.0,42,2,5,5,,8,2,10,,False,54.276,42.0,1,1_5
NV,32003.0,1,1,1,1,2,2,105000.0,80.0,6.625,-0.194,2,1,30.0,41,2,5,2,22,8,2,10,,False,80.0,41.0,1,1_2
CA,6073.0,3,1,31,2,1,2,155000.0,108.251,,,3,1,92.0,44,3,3,5,,5,1,7,,False,105.0,44.0,0,0_5
CA,6019.0,3,1,1,1,2,2,105000.0,,,,3,1,54.0,50%-60%,1,5,5,,8,2,1,,False,,55.0,0,0_5
CA,6037.0,1,1,1,1,2,2,1725000.0,73.69,6.125,-0.15947,2,1,716.0,20%-<30%,2,5,5,,8,1,10,,False,73.69,25.0,1,1_5
WI,55079.0,1,1,4,2,2,2,65000.0,53.605,9.34,3.288,2,1,87.0,46,2,5,5,,8,1,10,,True,53.605,46.0,1,1_5
TX,48039.0,1,1,1,1,2,2,305000.0,90.0,6.375,0.62,3,2,130.0,36,2,5,3,,8,2,10,,True,90.0,36.0,1,1_3
OH,39089.0,1,1,1,1,2,2,195000.0,97.0,6.375,0.881,2,1,66.0,30%-<36%,2,5,5,,8,2,10,,True,97.0,33.0,1,1_5
KY,21085.0,1,1,1,1,2,2,285000.0,82.997,6.25,-0.424,2,1,168.0,38,2,2,5,,5,1,10,,False,82.997,38.0,1,1_5
MO,29183.0,1,1,2,2,1,2,105000.0,36.0,5.95,0.78,2,1,235.0,20%-<30%,2,2,5,,5,1,10,,True,36.0,25.0,1,1_5
WA,53035.0,1,1,2,1,1,2,155000.0,27.473,8.74,0.56,2,1,62.0,47,2,2,5,,5,1,10,,True,27.473,47.0,1,1_5
CA,6061.0,1,2,1,1,2,2,765000.0,96.5,6.25,0.524,2,1,374.0,20%-<30%,1,3,5,,6,1,10,,True,96.5,25.0,1,1_5
FL,12086.0,3,1,2,2,2,2,105000.0,54.472,,,3,1,60.0,>60%,2,5,5,,8,1,3,,False,54.472,65.0,0,0_5
IN,18151.0,1,1,4,2,2,2,25000.0,75.797,7.74,1.473,2,1,36.0,40,2,5,5,,8,2,10,,True,75.797,40.0,1,1_5
OH,39029.0,3,1,1,1,2,2,45000.0,,,,3,1,16.0,50%-60%,2,5,5,,8,2,1,,False,,55.0,0,0_5
CA,6065.0,1,1,1,1,2,1,375000.0,47.261,6.5,0.162,3,3,138.0,41,3,3,5,,6,1,10,,True,47.261,41.0,1,1_5
CA,6037.0,1,1,1,1,2,2,465000.0,95.0,7.125,0.645,2,1,110.0,44,1,5,5,,8,1,10,,True,95.0,44.0,1,1_5
KY,21081.0,1,1,1,1,2,2,85000.0,,8.25,2.17,2,1,94.0,20%-<30%,2,2,5,,5,1,10,,True,,25.0,1,1_5
NY,36059.0,3,2,32,1,2,2,355000.0,56.373,,,3,1,67.0,>60%,1,1,1,,1,1,3,1,False,56.373,65.0,0,0_1
