state_code,county_code,action_taken,loan_type,loan_purpose,lien_status,open_end_line_of_credit,business_or_commercial_purpose,loan_amount,combined_loan_to_value_ratio,interest_rate,rate_spread,hoepa_status,occupancy_type,income,debt_to_income_ratio,applicant_ethnicity_1,co_applicant_ethnicity_1,applicant_race_1,applicant_race_2,co_applicant_race_1,applicant_sex,denial_reason_1,denial_reason_2,rate_spread_valid,ltv_capped,dti_numeric,label,strata
MI,26025.0,1,1,2,1,2,2,115000.0,68.1,5.99,-0.33,2,1,77.0,39,2,5,2,,8,1,10,,False,68.1,39.0,1,1_2
AZ,4013.0,3,2,1,1,2,2,175000.0,46.667,,,3,1,105.0,>60%,2,2,5,,5,1,1,,False,46.667,65.0,0,0_5
MI,26139.0,1,1,1,1,87,87,305000.0,,,,2,1,124.0,,2,2,5,,5,1,10,,False,,,1,1_5
LA,22033.0,3,1,1,1,2,2,185000.0,97.0,,,3,1,51.0,50%-60%,1,5,1,,8,2,1,,False,97.0,55.0,0,0_1
GA,13051.0,1,1,32,2,2,2,45000.0,50.02,9.0,2.419,2,1,115.0,30%-<36%,2,2,5,,5,2,10,,True,50.02,33.0,1,1_5
TN,47155.0,3,1,4,2,1,2,25000.0,53.79,,,3,1,60.0,48,2,5,5,,8,1,7,,False,53.79,48.0,0,0_5
MT,30093.0,1,1,1,1,2,2,165000.0,80.0,6.625,0.745,2,1,551.0,<20%,2,5,5,,8,1,10,,True,80.0,10.0,1,1_5
TX,48027.0,1,1,1,1,2,2,275000.0,93.14,5.625,-0.264,2,1,132.0,20%-<30%,2,2,5,,5,2,10,,False,93.14,25.0,1,1_5
GA,13223.0,3,1,4,2,87,87,45000.0,,,,3,1,66.0,,2,5,3,,8,2,87,,False,,,0,0_3
CA,6037.0,1,1,32,1,1,2,255000.0,17.22,8.5,,2,1,55.0,50%-60%,2,5,5,,8,2,10,,False,17.22,55.0,1,1_5
TX,48121.0,1,1,1,1,2,2,215000.0,90.0,6.623,0.406,2,1,51.0,46,2,2,5,,5,1,10,,True,90.0,46.0,1,1_5
NY,36029.0,1,1,2,2,1,2,105000.0,73.548,7.25,-0.89,2,1,76.0,44,2,1,1,,5,2,10,,False,73.548,44.0,1,1_1
CA,6073.0,1,1,1,1,2,2,1505000.0,69.525,4.75,-2.214,2,1,417.0,36,2,2,5,,5,1,10,,False,69.525,36.0,1,1_5
NC,37063.0,1,1,1,1,2,2,715000.0,75.0,7.375,0.725,3,2,298.0,40,2,2,5,,2,2,10,,True,75.0,40.0,1,1_5
TX,48037.0,3,1,1,1,2,2,75000.0,,,,3,1,34.0,>60%,2,5,3,,8,2,3,1,False,,65.0,0,0_3
TX,48157.0,1,1,1,1,2,2,305000.0,80.0,7.25,0.498,2,1,150.0,20%-<30%,2,2,2,26,2,1,10,,True,80.0,25.0,1,1_2
MD,24033.0,1,2,32,1,2,2,375000.0,78.316,5.75,-0.227,2,1,79.0,50%-60%,1,5,5,,8,1,10,,False,78.316,55.0,1,1_5
NH,33015.0,1,1,1,1,2,2,545000.0,95.0,6.625,0.688,2,1,145.0,49,2,2,5,,5,1,10,,True,95.0,49.0,1,1_5
AL,1133.0,3,1,1,1,2,2,105000.0,,,,3,1,76.0,20%-<30%,2,5,5,,8,1,3,5,False,,25.0,0,0_5
NC,37119.0,1,1,4,2,1,2,55000.0,74.392,8.75,2.254,2,1,110.0,45,2,5,3,,8,2,10,,True,74.392,45.0,1,1_3
CA,6073.0,1,1,32,2,2,2,265000.0,90.0,10.75,4.371,2,1,246.0,43,2,2,2,23,2,1,10,,True,90.0,43.0,1,1_2
FL,12011.0,3,1,4,2,2,2,65000.0,77.57,,,3,1,0.0,50%-60%,2,5,3,,8,2,7,,False,77.57,55.0,0,0_3
PA,42129.0,1,2,1,1,2,2,225000.0,95.0,6.25,0.286,2,1,59.0,50%-60%,2,5,5,,8,1,10,,True,95.0,55.0,1,1_5
CA,6059.0,1,1,4,1,2,2,1625000.0,60.0,6.875,0.0207,3,3,692.0,46,2,2,2,,2,1,10,,True,60.0,46.0,1,1_2
DE,10003.0,1,1,1,1,2,2,575000.0,86.959,7.125,0.429,2,1,129.0,49,2,5,2,21,8,1,10,,True,86.959,49.0,1,1_2
OK,40109.0,3,1,31,1,2,2,215000.0,62.0,,,3,1,31.0,>60%,2,2,1,,5,2,1,,False,62.0,65.0,0,0_1
FL,12031.0,1,1,1,1,2,2,155000.0,90.0,6.0,-0.274,2,1,65.0,30%-<36%,2,5,3,5,8,2,10,,False,90.0,33.0,1,1_3
TX,48091.0,1,1,1,1,2,2,305000.0,52.174,7.0,0.53,2,1,84.0,46,2,2,5,,5,2,10,,True,52.174,46.0,1,1_5
VA,51107.0,1,1,1,2,1,2,145000.0,79.801,8.99,0.84,2,1,124.0,43,2,5,5,26,8,1,10,,True,79.801,43.0,1,1_5
NC,37051.0,3,3,1,1,2,2,355000.0,100.0,,,3,1,54.0,>60%,2,5,3,,8,1,1,2,False,100.0,65.0,0,0_3
NJ,34029.0,1,1,1,1,2,1,295000.0,70.0,9.375,,3,3,,,2,5,5,,8,1,10,,False,70.0,,1,1_5
WI,55009.0,1,1,1,1,2,2,285000.0,90.0,7.0,0.072,2,1,88.0,42,2,5,5,,8,1,10,,True,90.0,42.0,1,1_5
MO,29025.0,1,1,1,1,2,2,255000.0,97.0,6.875,0.631,2,1,107.0,30%-<36%,2,5,5,,8,1,10,,True,97.0,33.0,1,1_5
SC,45051.0,1,1,1,1,2,2,85000.0,33.33,6.875,0.193,2,1,53.0,20%-<30%,2,1,5,,5,1,10,,True,33.33,25.0,1,1_5
AL,1081.0,1,1,1,1,2,2,285000.0,85.0,7.875,1.256,3,2,230.0,37,2,2,5,,5,2,10,,True,85.0,37.0,1,1_5
AZ,4003.0,1,1,32,2,2,2,105000.0,64.0,10.525,4.075,2,1,197.0,36,2,5,5,,8,2,10,,True,64.0,36.0,1,1_5
FL,12097.0,3,2,1,1,2,2,445000.0,96.5,,,3,1,0.0,>60%,1,5,1,,8,1,1,,False,96.5,65.0,0,0_1
NC,37081.0,1,1,31,1,2,2,325000.0,,6.75,0.877,2,1,145.0,30%-<36%,2,2,5,,5,1,10,,True,,33.0,1,1_5
VA,51015.0,3,1,1,1,2,2,95000.0,,,,3,1,81.0,20%-<30%,3,3,5,,5,1,6,,False,,25.0,0,0_5
LA,22009.0,1,1,1,1,2,2,95000.0,,7.75,1.644,2,1,39.0,44,2,5,5,,8,1,10,,True,,44.0,1,1_5
IL,17201.0,1,1,32,2,2,2,45000.0,73.0,10.425,5.156,2,1,92.0,30%-<36%,2,5,5,,8,1,10,,True,73.0,33.0,1,1_5
SC,45015.0,3,1,1,2,1,1,105000.0,69.2,,,3,3,85.0,50%-60%,1,5,5,,8,1,1,3,False,69.2,55.0,0,0_5
CA,6073.0,1,2,1,1,2,2,655000.0,96.5,6.625,0.564,2,1,143.0,50%-60%,2,1,2,5,5,2,10,,True,96.5,55.0,1,1_2
GA,13157.0,1,1,1,1,2,2,265000.0,95.0,6.99,0.754,2,1,76.0,45,2,5,5,,8,1,10,,True,95.0,45.0,1,1_5
NH,33005.0,3,1,4,2,1,2,205000.0,,,,3,1,39.0,>60%,2,5,5,,8,1,1,,False,,65.0,0,0_5
IL,17031.0,1,1,1,1,2,2,765000.0,76.655,7.375,0.739,2,1,382.0,42,2,2,5,,5,1,10,,True,76.655,42.0,1,1_5
TN,47037.0,3,1,1,1,2,2,535000.0,70.0,,,3,3,0.0,,2,2,2,25,2,2,5,,False,70.0,,0,0_2
WA,53033.0,1,1,1,1,2,2,575000.0,95.0,5.99,0.072,2,1,130.0,44,2,2,2,26,2,2,10,,True,95.0,44.0,1,1_2
IL,17183.0,1,1,1,1,87,87,95000.0,,,,2,1,88.0,,2,2,5,,5,2,87,,False,,,1,1_5
FL,12109.0,1,1,1,1,2,2,275000.0,80.0,6.999,0.532,2,1,207.0,<20%,2,2,2,21,2,2,10,,True,80.0,10.0,1,1_2
OH,39109.0,3,1,31,2,1,2,105000.0,36.213,,,3,1,28.0,>60%,3,5,5,,8,2,1,3,False,36.213,65.0,0,0_5
TX,48121.0,1,1,1,1,2,2,675000.0,95.0,7.625,1.775,2,1,218.0,43,2,2,2,21,2,2,10,,True,95.0,43.0,1,1_2
CA,6037.0,1,1,1,1,2,2,1055000.0,80.0,6.0,-0.133,2,1,278.0,41,2,5,5,,8,1,10,,False,80.0,41.0,1,1_5
CA,6001.0,1,1,2,2,1,2,255000.0,22.29,8.5,0.24,2,1,308.0,40,2,5,5,,8,1,10,,True,22.29,40.0,1,1_5
GA,13103.0,1,3,1,1,2,2,525000.0,,6.625,-0.138,2,1,175.0,30%-<36%,2,5,5,,8,1,10,,False,,33.0,1,1_5
OH,39093.0,1,1,1,1,2,2,425000.0,80.0,5.625,-0.428,2,1,,49,2,5,5,,8,1,10,,False,80.0,49.0,1,1_5
GA,13057.0,1,1,32,2,2,2,75000.0,49.0,9.125,3.35,2,1,80.0,30%-<36%,2,5,5,,8,1,10,,True,49.0,33.0,1,1_5
KY,21157.0,1,1,1,1,2,2,165000.0,99.94,,,3,1,0.0,50%-60%,2,5,5,,8,1,10,,False,99.94,55.0,1,1_5
NJ,34007.0,3,1,4,2,1,2,55000.0,70.0,,,3,3,284.0,46,2,5,3,,8,1,1,,False,70.0,46.0,0,0_3
MI,26161.0,1,1,31,1,2,2,165000.0,55.5,5.99,-0.146,2,1,113.0,20%-<30%,2,5,5,,8,1,10,,False,55.5,25.0,1,1_5
PA,42003.0,3,1,4,1,2,2,35000.0,11.667,,,3,1,70.0,50%-60%,2,5,5,,8,1,3,,False,11.667,55.0,0,0_5
NV,32003.0,1,2,32,1,2,2,365000.0,72.45,6.25,0.686,2,1,99.0,50%-60%,2,5,2,23,8,2,10,,True,72.45,55.0,1,1_2
PA,42045.0,1,1,31,2,1,2,105000.0,71.79,9.15,1.06,2,1,65.0,41,2,5,3,,8,1,10,,True,71.79,41.0,1,1_3
IL,17149.0,1,1,1,1,2,2,405000.0,78.431,6.3,0.682,2,1,568.0,38,2,2,5,,5,2,10,,True,78.431,38.0,1,1_5
KY,21111.0,3,2,4,1,2,2,145000.0,72.5,,,3,1,58.0,40,2,5,3,,8,1,3,,False,72.5,40.0,0,0_3
WA,53035.0,1,1,1,1,2,2,455000.0,91.876,6.25,-0.173,2,1,109.0,45,2,5,5,,8,2,10,,False,91.876,45.0,1,1_5
MA,25017.0,1,1,1,1,2,2,405000.0,80.0,6.49,0.291,2,1,116.0,36,2,2,5,,5,1,10,,True,80.0,36.0,1,1_5
MI,26089.0,1,1,1,1,87,87,355000.0,,,,3,2,367.0,,2,2,5,,5,1,87,,False,,,1,1_5
SC,45019.0,3,1,2,2,2,2,115000.0,79.965,,,3,1,62.0,>60%,2,5,3,,8,1,1,,False,79.965,65.0,0,0_3
CT,9170.0,1,1,1,2,2,2,15000.0,100.459,0.0,-6.13,2,1,65.0,36,2,5,5,,8,2,10,,False,100.459,36.0,1,1_5
GA,13073.0,1,3,1,1,2,2,425000.0,100.0,6.125,-0.41,2,1,263.0,37,1,2,1,,5,1,10,,False,100.0,37.0,1,1_1
IN,18097.0,1,1,32,2,2,2,85000.0,79.912,9.125,2.7629,2,1,85.0,41,2,5,5,,8,1,10,,True,79.912,41.0,1,1_5
ME,23031.0,1,1,1,1,2,2,525000.0,95.0,7.375,0.389,2,1,133.0,45,2,2,5,,5,1,10,,True,95.0,45.0,1,1_5
FL,12097.0,1,2,1,1,2,2,335000.0,96.5,5.75,-0.267,2,1,134.0,50%-60%,2,2,3,,3,1,10,,False,96.5,55.0,1,1_3
TX,48439.0,3,1,32,1,2,2,185000.0,80.0,,,3,1,257.0,50%-60%,2,5,5,,8,1,7,,False,80.0,55.0,0,0_5
TN,47105.0,3,1,1,1,2,2,95000.0,,,,3,1,90.0,<20%,2,2,5,,5,1,3,,False,,10.0,0,0_5
TX,48439.0,3,1,4,1,2,2,265000.0,59.051,,,3,1,111.0,48,2,5,5,,8,2,1,,False,59.051,48.0,0,0_5
VA,51107.0,1,1,1,1,2,2,1105000.0,87.352,6.75,0.525,2,1,240.0,44,3,5,2,27,8,1,10,,True,87.352,44.0,1,1_2
TX,48037.0,3,1,32,1,2,2,165000.0,57.58,,,3,1,105.0,44,2,2,5,,5,1,3,,False,57.58,44.0,0,0_5
WV,54033.0,1,1,1,1,2,2,75000.0,105.0,6.27,0.128,2,1,27.0,48,2,5,5,,8,2,10,,True,105.0,48.0,1,1_5
WV,54039.0,3,1,1,1,2,2,85000.0,107.79,,,3,1,37.0,20%-<30%,2,5,5,,8,2,3,,False,105.0,25.0,0,0_5
CA,6111.0,1,1,2,2,2,2,505000.0,29.962,7.6,0.87,2,1,382.0,30%-<36%,2,2,5,,5,1,10,,True,29.962,33.0,1,1_5
CA,6029.0,1,2,1,1,2,2,305000.0,100.43,6.5,-0.135,2,1,86.0,44,1,5,5,,8,1,10,,False,100.43,44.0,1,1_5
CA,6065.0,3,1,4,2,1,2,95000.0,75.239,,,3,1,0.0,47,2,2,3,,5,1,1,,False,75.239,47.0,0,0_3
CO,8045.0,1,1,2,2,1,2,15000.0,8.595,8.74,0.56,2,1,121.0,<20%,2,2,5,,5,1,10,,True,8.595,10.0,1,1_5
PA,42055.0,1,1,1,1,2,2,465000.0,80.0,5.875,-0.39,2,1,144.0,42,2,5,5,,8,1,10,,False,80.0,42.0,1,1_5
MI,26033.0,1,1,4,2,1,2,35000.0,69.928,8.0,-0.13,2,1,76.0,30%-<36%,2,5,5,,8,1,10,,False,69.928,33.0,1,1_5
PA,42079.0,3,1,32,2,2,2,55000.0,12.223,,,3,1,268.0,,2,2,5,,5,1,7,,False,12.223,,0,0_5
AR,5085.0,1,3,1,1,2,2,225000.0,100.0,6.625,0.154,2,1,62.0,30%-<36%,2,5,5,,8,1,10,,True,100.0,33.0,1,1_5
CA,6013.0,1,1,1,1,2,2,695000.0,97.0,5.999,-0.016,2,1,160.0,40,2,5,2,27,8,1,10,,False,97.0,40.0,1,1_2
AZ,4015.0,3,1,1,1,2,2,215000.0,80.0,,,3,3,116.0,>60%,2,2,5,,5,1,1,,False,80.0,65.0,0,0_5
PA,42133.0,1,1,1,1,1,2,295000.0,80.33,8.5,0.31,2,2,266.0,20%-<30%,2,2,5,,5,2,10,,True,80.33,25.0,1,1_5
FL,12099.0,1,1,1,1,2,2,245000.0,80.0,6.625,0.028,2,1,104.0,20%-<30%,1,5,5,,8,1,10,,True,80.0,25.0,1,1_5
OH,39049.0,3,1,4,1,1,2,55000.0,27.778,,,3,1,64.0,45,2,5,3,,8,1,3,1,False,27.778,45.0,0,0_3
TX,48309.0,1,1,32,1,87,87,205000.0,,,,2,1,121.0,,1,1,5,,5,1,10,,False,,,1,1_5
WI,55027.0,3,3,1,1,2,2,255000.0,100.0,,,3,1,74.0,49,2,5,5,,8,1,9,,False,100.0,49.0,0,0_5
PA,42027.0,3,1,2,1,2,2,75000.0,15.789,,,3,2,102.0,>60%,2,2,2,,2,1,4,3,False,15.789,65.0,0,0_2
IL,17031.0,1,1,1,1,2,2,125000.0,90.0,8.125,1.537,2,1,224.0,20%-<30%,2,2,5,,5,2,10,,True,90.0,25.0,1,1_5
FL,12057.0,3,1,1,1,2,1,285000.0,75.0,,,3,3,,,2,5,5,,8,1,4,,False,75.0,,0,0_5
MI,26139.0,1,1,1,1,2,2,355000.0,70.0,6.75,-0.136,2,1,102.0,38,2,2,5,,5,1,10,,False,70.0,38.0,1,1_5
KY,21117.0,1,1,1,1,2,2,185000.0,82.55,6.125,-0.204,2,1,68.0,30%-<36%,2,5,5,,8,2,10,,False,82.55,33.0,1,1_5
WI,55101.0,3,1,1,2,1,2,25000.0,60.673,,,3,1,78.0,50%-60%,2,5,5,,8,1,1,,False,60.673,55.0,0,0_5
FL,12019.0,1,1,32,1,2,1,185000.0,75.0,6.5,,3,3,185.0,<20%,2,5,5,,8,1,10,,False,75.0,10.0,1,1_5
NY,36071.0,1,1,1,1,2,2,545000.0,80.0,6.5,0.204,2,1,177.0,37,2,5,5,,8,1,10,,True,80.0,37.0,1,1_5
IN,18141.0,1,1,2,2,1,2,105000.0,41.623,2.99,0.34,2,1,108.0,30%-<36%,2,2,5,,5,2,10,,True,41.623,33.0,1,1_5
PA,42003.0,1,1,31,1,1,2,105000.0,55.56,8.15,0.55,2,1,32.0,>60%,2,5,5,,8,2,10,,True,55.56,65.0,1,1_5
KS,20111.0,1,1,1,1,2,2,295000.0,95.0,7.5,1.338,2,1,231.0,20%-<30%,2,2,5,,5,2,10,,True,95.0,25.0,1,1_5
VA,51153.0,1,1,31,2,1,2,325000.0,70.35,7.9,0.3,2,1,192.0,>60%,2,5,2,25,8,1,10,,True,70.35,65.0,1,1_2
CA,6055.0,3,1,4,2,1,2,205000.0,36.53,,,3,1,54.0,>60%,2,2,2,27,5,2,1,,False,36.53,65.0,0,0_2
CA,6067.0,1,1,1,1,2,2,645000.0,80.0,6.874,0.131,2,1,201.0,30%-<36%,2,5,5,,8,2,10,,True,80.0,33.0,1,1_5
MD,24003.0,3,1,31,1,2,2,385000.0,96.561,,,3,1,133.0,30%-<36%,2,5,2,5,8,1,4,,False,96.561,33.0,0,0_2
PA,42095.0,1,1,1,1,2,2,145000.0,34.826,6.75,-0.047,2,1,114.0,46,2,2,5,,5,1,10,,False,34.826,46.0,1,1_5
GA,13135.0,1,1,2,1,1,2,285000.0,67.545,8.75,0.62,2,1,106.0,>60%,2,5,3,,8,2,10,,True,67.545,65.0,1,1_3
DE,10003.0,1,2,1,1,2,2,325000.0,99.45,6.25,0.032,2,1,88.0,48,2,2,3,,3,1,10,,True,99.45,48.0,1,1_3
OH,39029.0,1,1,2,2,1,2,15000.0,79.975,8.75,1.21,2,1,90.0,<20%,2,5,5,,8,1,10,,True,79.975,10.0,1,1_5
PA,42041.0,1,1,31,1,1,2,35000.0,13.95,1.99,-6.19,2,1,65.0,20%-<30%,2,2,5,,5,1,10,,False,13.95,25.0,1,1_5
MN,27099.0,1,1,1,2,2,2,35000.0,105.0,,,3,1,35.0,30%-<36%,1,5,5,,8,1,10,,False,105.0,33.0,1,1_5
UT,49045.0,1,1,1,1,2,2,375000.0,69.48,6.99,0.675,2,1,75.0,49,1,5,5,,8,1,10,,True,69.48,49.0,1,1_5
TX,48029.0,1,1,32,2,2,2,135000.0,50.354,6.5,1.142,2,1,93.0,50%-60%,1,5,5,,8,1,10,,True,50.354,55.0,1,1_5
FL,12095.0,1,1,1,1,2,2,385000.0,80.0,6.999,0.434,2,1,82.0,50%-60%,2,2,2,26,2,6,10,,True,80.0,55.0,1,1_2
AZ,4013.0,1,1,2,2,1,2,405000.0,38.86,8.5,0.28,2,1,300.0,39,2,2,5,,5,2,10,,True,38.86,39.0,1,1_5
CA,6095.0,1,1,1,1,2,1,705000.0,51.28,9.75,,3,3,1000.0,,2,5,5,,8,1,10,,False,51.28,,1,1_5
FL,12071.0,3,2,1,1,2,2,255000.0,,,,3,1,88.0,39,3,3,3,,6,2,7,,False,,39.0,0,0_3
UT,49021.0,1,2,1,1,2,2,395000.0,94.17,6.25,0.217,2,1,76.0,50%-60%,2,1,5,,5,2,10,,True,94.17,55.0,1,1_5
VA,51760.0,1,1,1,1,2,2,495000.0,100.0,8.0,0.973,2,1,225.0,38,2,5,5,,8,1,10,,True,100.0,38.0,1,1_5
MA,25001.0,3,1,31,1,2,2,33005000.0,3473.685,,,3,1,38.0,50%-60%,14,5,5,,8,2,3,1,False,105.0,55.0,0,0_5
AR,5119.0,1,1,32,1,2,2,285000.0,73.685,7.49,0.684,2,1,0.0,44,2,2,5,,5,2,10,,True,73.685,44.0,1,1_5
IN,18081.0,1,1,4,2,1,2,35000.0,83.946,3.9,-4.24,2,1,107.0,30%-<36%,2,2,5,,5,1,10,,False,83.946,33.0,1,1_5
CA,6067.0,1,1,4,2,1,2,55000.0,43.607,8.5,0.99,2,1,89.0,37,2,2,5,,5,1,10,,True,43.607,37.0,1,1_5
CA,6065.0,1,1,32,1,1,2,105000.0,14.382,6.99,0.735,2,1,62.0,30%-<36%,2,5,5,,8,2,10,,True,14.382,33.0,1,1_5
AR,5007.0,1,1,31,1,2,2,235000.0,69.048,6.5,-0.122,2,1,55.0,37,2,5,5,,8,1,10,,False,69.048,37.0,1,1_5
NM,35001.0,3,3,1,1,2,2,195000.0,100.0,,,3,1,52.0,45,2,1,1,,6,1,2,1,False,100.0,45.0,0,0_1
MN,27081.0,1,1,1,1,2,2,165000.0,95.0,5.775,0.019,2,1,60.0,39,2,5,5,,8,1,10,,True,95.0,39.0,1,1_5
CA,6097.0,1,1,32,2,1,2,255000.0,63.879,9.0,0.82,2,1,396.0,42,2,2,5,,5,1,10,,True,63.879,42.0,1,1_5
MA,25005.0,1,1,32,1,2,2,205000.0,64.688,6.99,0.212,2,1,68.0,36,2,2,5,,5,1,10,,True,64.688,36.0,1,1_5
OR,41047.0,3,1,4,1,2,2,305000.0,300.0,,,3,1,550.0,<20%,2,5,1,5,8,1,3,,False,105.0,10.0,0,0_1
GA,13135.0,3,1,1,1,2,2,285000.0,82.609,,,3,3,272.0,30%-<36%,2,2,2,26,2,1,4,,False,82.609,33.0,0,0_2
FL,12086.0,1,1,4,2,1,2,225000.0,55.0,10.05,3.65,2,1,224.0,20%-<30%,1,5,5,,8,2,10,,True,55.0,25.0,1,1_5
OK,40041.0,3,1,2,1,2,1,35000.0,70.0,,,3,3,32.0,,2,5,1,,8,1,3,,False,70.0,,0,0_1
AR,5045.0,1,2,1,1,2,2,205000.0,96.5,6.625,0.939,2,1,65.0,44,2,2,5,,5,1,10,,True,96.5,44.0,1,1_5
TX,48157.0,1,1,2,2,2,2,55000.0,54.3,7.49,,3,3,268.0,47,2,5,3,,8,1,10,,False,54.3,47.0,1,1_3
MN,27041.0,1,1,31,1,87,87,145000.0,,,,2,1,240.0,,2,5,5,,8,1,87,,False,,,1,1_5
CA,6037.0,1,1,31,2,1,2,285000.0,67.35,9.5,1.22,2,1,227.0,44,2,5,5,,8,2,10,,True,67.35,44.0,1,1_5
GA,13067.0,3,1,31,2,1,2,95000.0,,,,3,1,329.0,43,2,5,2,21,8,1,3,,False,,43.0,0,0_2
NJ,34039.0,1,1,32,1,2,2,385000.0,63.531,5.5,-0.125,2,1,75.0,49,1,1,5,,5,1,10,,False,63.531,49.0,1,1_5
PA,42129.0,3,1,31,2,1,2,205000.0,155.15,,,3,1,72.0,50%-60%,2,5,5,,8,1,1,4,False,105.0,55.0,0,0_5
TX,48329.0,1,1,1,2,2,2,5000.0,101.5,8.125,1.727,2,1,90.0,20%-<30%,1,1,5,,5,1,10,,True,101.5,25.0,1,1_5
FL,12009.0,1,1,1,1,2,2,355000.0,95.0,6.99,1.152,2,1,134.0,38,1,5,5,,8,1,10,,True,95.0,38.0,1,1_5
VA,51139.0,3,1,1,1,2,2,115000.0,,,,3,1,144.0,<20%,2,3,5,,5,2,3,,False,,10.0,0,0_5
NY,36045.0,1,3,1,1,2,2,235000.0,100.0,6.75,1.154,2,1,117.0,30%-<36%,2,2,5,,5,1,10,,True,100.0,33.0,1,1_5
FL,12005.0,3,1,4,1,1,2,55000.0,31.25,,,3,2,60.0,20%-<30%,2,5,5,,8,1,9,,False,31.25,25.0,0,0_5
PA,42003.0,1,2,1,1,2,2,135000.0,,6.75,0.808,2,1,78.0,38,2,2,5,,5,1,10,,True,,38.0,1,1_5
MO,29165.0,3,1,4,2,2,2,25000.0,72.397,,,3,1,0.0,36,2,5,1,5,8,1,3,,False,72.397,36.0,0,0_1
CT,9120.0,1,1,1,1,2,2,645000.0,84.77,6.875,-0.099,2,1,237.0,30%-<36%,2,2,5,,5,1,10,,False,84.77,33.0,1,1_5
PA,42003.0,3,1,31,1,2,2,425000.0,74.105,,,3,1,96.0,44,2,2,5,,5,2,9,,False,74.105,44.0,0,0_5
NC,37179.0,3,1,32,1,2,2,315000.0,80.0,,,3,3,126.0,20%-<30%,2,5,1,5,8,2,9,,False,80.0,25.0,0,0_1
NC,37097.0,3,2,1,1,2,2,335000.0,80.0,,,3,1,24.0,>60%,2,2,5,,5,2,1,6,False,80.0,65.0,0,0_5
PA,42003.0,1,1,2,1,1,2,105000.0,51.76,8.9,0.76,2,1,50.0,>60%,2,2,5,,5,1,10,,True,51.76,65.0,1,1_5
IN,18063.0,3,1,32,2,2,2,25000.0,12.308,,,3,1,75.0,,2,5,5,,8,1,7,,False,12.308,,0,0_5
LA,22055.0,1,2,31,1,2,2,235000.0,96.426,6.75,1.07,2,1,,,2,5,5,,8,1,10,,True,96.426,,1,1_5
TX,48303.0,3,1,1,1,2,2,105000.0,,,,3,1,100.0,,2,5,1,,8,1,3,,False,,,0,0_1
NV,32003.0,3,3,32,1,2,2,675000.0,,,,3,1,257.0,>60%,2,5,5,,8,1,3,,False,,65.0,0,0_5
MN,27163.0,1,1,32,1,2,2,245000.0,80.0,6.625,0.248,2,1,,42,2,5,5,,8,2,10,,True,80.0,42.0,1,1_5
TX,48289.0,3,1,1,1,87,87,175000.0,,,,3,3,123.0,,3,2,5,,5,1,87,,False,,,0,0_5
CA,6059.0,1,1,4,2,1,2,85000.0,61.945,9.55,1.98,2,1,346.0,44,2,5,5,,8,1,10,,True,61.945,44.0,1,1_5
FL,12009.0,1,1,1,1,2,2,85000.0,,8.2,2.96,2,1,42.0,37,2,5,5,,8,2,10,,True,,37.0,1,1_5
OR,41067.0,1,2,1,1,2,2,495000.0,96.5,6.125,0.22,2,1,142.0,41,1,5,1,5,8,2,10,,True,96.5,41.0,1,1_1
DC,11001.0,1,1,1,1,2,2,275000.0,97.0,6.625,0.026,2,1,91.0,30%-<36%,3,5,5,,8,2,10,,True,97.0,33.0,1,1_5
PA,42091.0,1,1,31,1,2,2,225000.0,,6.0,-0.375,2,1,70.0,43,2,5,5,,8,2,10,,False,,43.0,1,1_5
TX,48015.0,1,2,1,1,2,2,195000.0,90.95,6.625,0.796,2,1,45.0,50%-60%,2,5,5,,8,1,10,,True,90.95,55.0,1,1_5
IN,18097.0,3,2,1,1,2,2,115000.0,107.28,,,3,1,32.0,50%-60%,1,5,5,,8,2,6,4,False,105.0,55.0,0,0_5
MI,26125.0,1,1,1,1,2,2,265000.0,80.0,5.999,-0.544,2,1,93.0,30%-<36%,2,5,5,,8,1,10,,False,80.0,33.0,1,1_5
FL,12086.0,3,1,1,1,2,2,875000.0,85.0,,,3,1,-71.0,,14,5,5,,8,1,6,4,False,85.0,,0,0_5
KY,21111.0,1,2,31,1,2,2,255000.0,96.668,6.125,0.138,2,1,,,2,1,5,,5,2,10,,True,96.668,,1,1_5
OH,39153.0,1,2,1,1,2,2,165000.0,101.35,7.0,0.89,2,1,74.0,42,2,5,5,,8,2,10,,True,101.35,42.0,1,1_5
NJ,34015.0,1,1,2,2,2,2,105000.0,70.217,9.09,1.6,2,1,152.0,42,2,2,5,,5,2,10,,True,70.217,42.0,1,1_5
MN,27053.0,1,1,1,2,2,2,15000.0,100.573,0.0,,3,1,95.0,30%-<36%,2,1,3,5,1,2,10,,False,100.573,33.0,1,1_3
SC,45005.0,3,3,32,1,2,2,115000.0,85.1,,,3,1,41.0,50%-60%,2,2,5,,5,1,7,,False,85.1,55.0,0,0_5
IL,17089.0,1,1,1,1,2,2,305000.0,95.0,7.375,0.707,2,1,119.0,30%-<36%,1,2,5,,5,1,10,,True,95.0,33.0,1,1_5
MI,26163.0,3,1,4,2,2,2,15000.0,79.943,,,3,1,64.0,>60%,2,5,3,,8,2,3,4,False,79.943,65.0,0,0_3
TX,48167.0,1,1,1,1,87,87,855000.0,,,,2,1,518.0,,2,2,5,,5,1,10,,False,,,1,1_5
