quarter,n,lr_auc,lr_psi,lr_kl,xgb_auc,xgb_psi,xgb_kl,fnn_auc,fnn_psi,fnn_kl
2021Q1,1413390,0.5598003397516917,0.3034085716588817,0.14193756686344777,0.5509121646705473,0.07413607434872335,0.03124464584795611,0.5639221830951007,0.09513886332174906,0.0537072323484909
2021Q2,1316215,0.5439478078354308,0.188317052561952,0.09075344626768292,0.5454992919974129,0.04952854622864515,0.02173410104271331,0.5333668416311081,0.06170844197876679,0.03491063211335095
2021Q3,1039051,0.5783502211171121,0.11915249922354514,0.058190916619513054,0.5624346023534421,0.039572331337641424,0.017137276366585772,0.571312679919183,0.04239947435609371,0.023905591014455756
2021Q4,1013436,0.5835280017069506,0.08060065418349086,0.03911793441336906,0.5692440641732012,0.039654528189174074,0.016751964506946177,0.568340896600247,0.0372323985018249,0.020797961984720746
2022Q1,793818,0.5613974551968587,0.010834602706176187,0.005242412786362606,0.5648061017417134,0.01906756689153531,0.008602365589796504,0.5598728775556752,0.03518028729928903,0.019280398582118094
2022Q2,567613,0.49828350167422564,0.06232803620004523,0.029713813291600576,0.5082792949973439,0.07631705888418813,0.03934685227683635,0.4930156911238738,0.10934060670740345,0.05573732438465085
2022Q3,377913,0.536934565036346,0.33865907649878274,0.14978276890892464,0.5336060429878404,0.5548412190258558,0.28024819516962407,0.526009472124204,0.6357649203983686,0.3081043271612472
2022Q4,273662,0.5692911418086967,0.55627500499744,0.2367344314348412,0.5465713153346563,0.6330478591775457,0.31525346188254105,0.4550010554102747,1.202778736020557,0.578468460631903
2023Q1,210810,0.6222696037004195,0.753742762042837,0.3071242974219489,0.5497075382707577,0.7942246218260105,0.39191208845195846,0.5379487174064446,1.7910397109979816,0.8066698238857151
2023Q2,276714,0.6217781224453972,0.6844457076039548,0.27290989258097587,0.5736131394910607,0.6707114554575843,0.3334378632067916,0.5198473389990681,1.8062914040459446,0.8176061536650556
2023Q3,266728,0.5900728139955747,0.9255716489771717,0.3602488319307933,0.5733290715813513,0.6906510633199183,0.3448108474245157,0.46690025103816146,2.5026652471553708,1.0962372706197283
2023Q4,215934,0.5688286983711909,1.2953410117467203,0.5052013752442416,0.551099265919694,0.6664024823305985,0.3322710644357075,0.48175473159496063,3.4636179817512915,1.4916791727422263
